python test.py --img 1280 --batch 16 --conf 0.001 --iou 0.65 --device 0 --data data/coco.yaml --weights yolor-d6-paper-573.pt --name yolor_d6_val --verbose
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95: 100%|█| 313/313 [03:44<00
                 all       5e+03    3.63e+04       0.488       0.812       0.743       0.558
              person       5e+03    1.08e+04       0.572       0.896       0.868       0.652
             bicycle       5e+03         314       0.456       0.818        0.74       0.476
                 car       5e+03    1.92e+03       0.483       0.866       0.806       0.572
          motorcycle       5e+03         367       0.481       0.864       0.836       0.578
            airplane       5e+03         143       0.681       0.951       0.946       0.783
                 bus       5e+03         283       0.653       0.901       0.901       0.778
               train       5e+03         190       0.666       0.963       0.956       0.782
               truck       5e+03         414       0.365       0.848       0.702        0.52
                boat       5e+03         424       0.414        0.75       0.682       0.406
       traffic light       5e+03         634       0.433       0.776       0.652       0.359
        fire hydrant       5e+03         101       0.766       0.941       0.949       0.774
           stop sign       5e+03          75       0.573       0.853       0.839       0.746
       parking meter       5e+03          60       0.514        0.75       0.742       0.598
               bench       5e+03         411       0.306        0.62       0.528       0.384
                bird       5e+03         427       0.456       0.714       0.667       0.478
                 cat       5e+03         202        0.77       0.965       0.947       0.807
                 dog       5e+03         218       0.653       0.894       0.883       0.766
               horse       5e+03         272       0.666       0.952       0.929       0.743
               sheep       5e+03         354        0.59       0.912       0.869       0.677
                 cow       5e+03         372       0.614       0.903       0.886       0.709
            elephant       5e+03         252       0.694       0.968       0.914       0.761
                bear       5e+03          71       0.882       0.951       0.974       0.823
               zebra       5e+03         266       0.728       0.944       0.948       0.778
             giraffe       5e+03         232       0.831       0.953       0.949       0.785
            backpack       5e+03         371       0.288       0.698       0.507       0.295
            umbrella       5e+03         407       0.428       0.857       0.769       0.541
             handbag       5e+03         540       0.276       0.685       0.507       0.319
                 tie       5e+03         252       0.413       0.778       0.716       0.511
            suitcase       5e+03         299       0.462       0.863       0.782       0.559
             frisbee       5e+03         115       0.731       0.948       0.929       0.776
                skis       5e+03         241        0.47       0.701       0.637         0.4
           snowboard       5e+03          69       0.432       0.667       0.679       0.471
         sports ball       5e+03         260       0.536       0.788       0.781       0.564
                kite       5e+03         327       0.512       0.817       0.747       0.546
        baseball bat       5e+03         145        0.51       0.779       0.755       0.486
      baseball glove       5e+03         148        0.48       0.818       0.805       0.522
          skateboard       5e+03         179       0.678       0.894       0.877       0.686
           surfboard       5e+03         267       0.545       0.813       0.788       0.538
       tennis racket       5e+03         225       0.622       0.942       0.929       0.685
              bottle       5e+03    1.01e+03       0.416       0.825       0.701       0.522
          wine glass       5e+03         341        0.48       0.812       0.756       0.521
                 cup       5e+03         895       0.422       0.848       0.752       0.586
                fork       5e+03         215       0.396       0.823       0.766       0.587
               knife       5e+03         325       0.364       0.689       0.585       0.393
               spoon       5e+03         253       0.311       0.727       0.534       0.387
                bowl       5e+03         623       0.387       0.831       0.695       0.548
              banana       5e+03         370       0.338        0.63       0.495       0.317
               apple       5e+03         236       0.314       0.602        0.44       0.325
            sandwich       5e+03         177       0.386       0.732       0.639       0.494
              orange       5e+03         285       0.347       0.667       0.471       0.361
            broccoli       5e+03         312       0.294       0.651       0.481       0.287
              carrot       5e+03         365       0.243       0.688       0.448       0.305
             hot dog       5e+03         125       0.477       0.744       0.701       0.546
               pizza       5e+03         284       0.532       0.842       0.807       0.627
               donut       5e+03         328        0.47       0.845       0.731       0.591
                cake       5e+03         310       0.448       0.794       0.735       0.516
               chair       5e+03    1.77e+03       0.382        0.78       0.667        0.46
               couch       5e+03         261       0.409       0.816       0.723       0.556
        potted plant       5e+03         342       0.384       0.778       0.613       0.391
                 bed       5e+03         163       0.495       0.816       0.752       0.523
        dining table       5e+03         695       0.296        0.75       0.532       0.351
              toilet       5e+03         179       0.661       0.922        0.91       0.738
                  tv       5e+03         288       0.588       0.878       0.875       0.692
              laptop       5e+03         231        0.58       0.905       0.889       0.764
               mouse       5e+03         106       0.658       0.887       0.877       0.721
              remote       5e+03         283       0.443        0.83       0.753       0.538
            keyboard       5e+03         153       0.447       0.889       0.811       0.626
          cell phone       5e+03         262       0.407       0.817       0.735       0.541
           microwave       5e+03          55       0.568       0.891       0.866       0.738
                oven       5e+03         143       0.396       0.769       0.683       0.476
             toaster       5e+03           9       0.282       0.889       0.737       0.553
                sink       5e+03         225       0.459       0.809       0.728       0.492
        refrigerator       5e+03         126       0.524       0.865       0.861       0.742
                book       5e+03    1.13e+03       0.231       0.632       0.389       0.226
               clock       5e+03         267       0.549       0.831       0.815       0.572
                vase       5e+03         274       0.374       0.793       0.664       0.487
            scissors       5e+03          36       0.412        0.75       0.711       0.548
          teddy bear       5e+03         190       0.533       0.826       0.786       0.641
          hair drier       5e+03          11       0.274       0.364       0.381       0.264
          toothbrush       5e+03          57        0.41       0.702       0.584        0.46
Speed: 37.3/1.7/39.0 ms inference/NMS/total per 1280x1280 image at batch-size 16
